Приоритетна област	Програма	Модул	Вид	Средства	Година
Образователни иновации, дигитална трансформация и устойчиво развитие	НП ОСИГУРЯВАНЕ НА СЪВРЕМЕННА ОБРАЗОВАТЕЛНА СРЕДА	Модул Подкрепа на целодневното обучевие на учениците	Национална програма	795164	2020
Образователни иновации, дигитална трансформация и устойчиво развитие	BG05M2ОP001-2.012-0001 Образование за утрешния ден		Европейски програми и проекти	20886466.25	2020
Реализация в професиите на настоящето и бъдещето	НП ПРЕДОСТАВЯНЕ НА СЪВРЕМЕННИ УСЛОВИЯ ЗА РАБОТА НА ДЕЦАТА И УЧЕНИЦИТЕ В ЦЕНТРОВЕ ЗА ПОДКРЕПА ЗА ЛИЧНОСТНО РАЗВИТИЕ	Модул В Кариерно ориентиране и консултиране на учениците чрез съвместни дейности на ЦПЛР по чл. 49, ал. 1, т. 2 от ЗПУО и училища	Национална програма	26889	2020
Реализация в професиите на настоящето и бъдещето	НП Разработване на учебни помагала за обучение по общообразователни учебни предмети на чужд език, оценяване и одобряване на проекти на учебни помагала за подпомагане на обучението, организирано в чужбина, на проекти на учебници и на проекти на учебни комплекти	МОДУЛ РАЗРАБОТВАНЕ И/ИЛИ АДАПТИРАНЕ НА УЧЕБНИ ПОМАГАЛА ЗА ПРОФЕСИОНАЛНО ОБРАЗОВАНИЕ И ОБУЧЕНИЕ	Национална програма	281621	2020
Реализация в професиите на настоящето и бъдещето	НП ОБУЧЕНИЕ ЗА ИТ КАРИЕРА		Национална програма	606000	2020
Реализация в професиите на настоящето и бъдещето	BG05M2OP001-2.014-0001 Подкрепа за дуалната система на обучение		Европейски програми и проекти	5166934.56	2020
Реализация в професиите на настоящето и бъдещето	BG05M2OP001-2.013 Студентски практики фаза 2		Европейски програми и проекти	14728101.75	2020
Учене през целия живот	BG05M2OP001-3.004 Ограмотяване на възрастни - фаза 1		Европейски програми и проекти	414196.03	2020
Ефикасно управление и участие в мрежи	НП РОДЕН ЕЗИК И КУЛТУРА ЗАД ГРАНИЦА		Национална програма	2054526	2020
Ранно детско развитие	НП БЕЗ СВОБОДЕН ЧАС	Модул 2 - Без свободен час в детската градина	Национална програма	187705	2019
Ранно детско развитие	BG05M2ОP001-3.005-0004 Активно приобщаване в системата на предучилищното образование		Европейски програми и проекти	216.03	2019
Ранно детско развитие	BG05M20P001-3.001Подкрепа за предучилищното образование и подготовка на деца в неравностойно положение		Европейски програми и проекти	647082.22	2019
