Приоритетна област	Дейност	Перо	Година	Средства в лв. от националния бюджет (без национални програми)	Средства от ЕС и други международни проекти и програми в лв.
Компетентности и таланти 	"Дейност 359 ""Други дейности за децата"""	Персонал (§ 01-00, § 02-00, § 05-00)	2020	14800	16055
Ранно детско развитие 	"Дейност 359 ""Други дейности за децата"""	Издръжка (§ 10-00, § 19-00)	2020	56919	52263
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 359 ""Други дейности за децата"""	Капиталови разходи (§ 52-00, § 53-00)	2020	19975	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 359 ""Други дейности за децата"""	Капиталови разходи (§ 51-00, § 54-00, § 55-00)	2020	15048	134770
Компетентности и таланти 	"Дейност 369 ""Други дейности за младежта"""	Персонал (§ 01-00, § 02-00, § 05-00)	2020	1322331.9999999998	123574
Компетентности и таланти 	"Дейност 369 ""Други дейности за младежта"""	Издръжка (§ 10-00, § 19-00)	2020	935415.0000000001	53780
Компетентности и таланти 	"Дейност 369 ""Други дейности за младежта"""	Стипендии (§ 40-00)	2020	1200	0
Компетентности и таланти 	"Дейност 369 ""Други дейности за младежта"""	Текущи трансфери, обезщетения и помощи за домакинствата (§ 42-00) 	2020	798	0
Компетентности и таланти 	"Дейност 369 ""Други дейности за младежта"""	Субсидии и разходи за членски внос (§ 43-00, § 45-00, § 46-00)	2020	3004370	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 369 ""Други дейности за младежта"""	Капиталови разходи (§ 52-00, § 53-00)	2020	30905	38862
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 369 ""Други дейности за младежта"""	Капиталови разходи (§ 51-00, § 54-00, § 55-00)	2020	28942	0
Учене през целия живот 	"Дейност 388 ""Международни програми и споразумения, дарения и помощи от чужбина"""	Персонал (§ 01-00, § 02-00, § 05-00)	2020	36260.00000000001	1959483.0000000002
Учене през целия живот 	"Дейност 388 ""Международни програми и споразумения, дарения и помощи от чужбина"""	Издръжка (§ 10-00, § 19-00)	2020	134360	1681126.0000000002
Учене през целия живот 	"Дейност 388 ""Международни програми и споразумения, дарения и помощи от чужбина"""	Стипендии (§ 40-00)	2020	969	0
Учене през целия живот 	"Дейност 388 ""Международни програми и споразумения, дарения и помощи от чужбина"""	Текущи трансфери, обезщетения и помощи за домакинствата (§ 42-00) 	2020	0	3243163
Учене през целия живот 	"Дейност 388 ""Международни програми и споразумения, дарения и помощи от чужбина"""	Субсидии и разходи за членски внос (§ 43-00, § 45-00, § 46-00)	2020	0	2308145
Учене през целия живот 	"Дейност 388 ""Международни програми и споразумения, дарения и помощи от чужбина"""	Предоставени текущи и капиталови трансфери за чужбина (§ 49-00) 	2020	0	858292.9999999999
Учене през целия живот 	"Дейност 388 ""Международни програми и споразумения, дарения и помощи от чужбина"""	Капиталови разходи (§ 52-00, § 53-00)	2020	0	908872.9999999999
Учене през целия живот 	"Дейност 388 ""Международни програми и споразумения, дарения и помощи от чужбина"""	Капиталови разходи (§ 51-00, § 54-00, § 55-00)	2020	0	1816562
Компетентности и таланти 	"Дейност 389 ""Други дейности по образованието"""	Персонал (§ 01-00, § 02-00, § 05-00)	2020	2413564	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 389 ""Други дейности по образованието"""	Персонал (§ 01-00, § 02-00, § 05-00)	2020	189551	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 389 ""Други дейности по образованието"""	Персонал (§ 01-00, § 02-00, § 05-00)	2020	564902	0
Реализация в професиите на настоящето и бъдещето	"Дейност 389 ""Други дейности по образованието"""	Персонал (§ 01-00, § 02-00, § 05-00)	2020	38180	0
Учене през целия живот 	"Дейност 389 ""Други дейности по образованието"""	Персонал (§ 01-00, § 02-00, § 05-00)	2020	288869	0
Ефикасно управление и участие в мрежи	"Дейност 389 ""Други дейности по образованието"""	Персонал (§ 01-00, § 02-00, § 05-00)	2020	19017369	6196950.000000001
Компетентности и таланти 	"Дейност 389 ""Други дейности по образованието"""	Издръжка (§ 10-00, § 19-00)	2020	957294	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 389 ""Други дейности по образованието"""	Издръжка (§ 10-00, § 19-00)	2020	154644	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 389 ""Други дейности по образованието"""	Издръжка (§ 10-00, § 19-00)	2020	273372	0
Реализация в професиите на настоящето и бъдещето	"Дейност 389 ""Други дейности по образованието"""	Издръжка (§ 10-00, § 19-00)	2020	28442	0
Учене през целия живот 	"Дейност 389 ""Други дейности по образованието"""	Издръжка (§ 10-00, § 19-00)	2020	348054	0
Ефикасно управление и участие в мрежи	"Дейност 389 ""Други дейности по образованието"""	Издръжка (§ 10-00, § 19-00)	2020	46260209	3411553.0000000005
Ефикасно управление и участие в мрежи	"Дейност 389 ""Други дейности по образованието"""	Стипендии (§ 40-00)	2020	360303	0
Ефикасно управление и участие в мрежи	"Дейност 389 ""Други дейности по образованието"""	Текущи трансфери, обезщетения и помощи за домакинствата (§ 42-00) 	2020	97045	38157
Ефикасно управление и участие в мрежи	"Дейност 389 ""Други дейности по образованието"""	Субсидии и разходи за членски внос (§ 43-00, § 45-00, § 46-00)	2020	1243765	29984970
Ефикасно управление и участие в мрежи	"Дейност 389 ""Други дейности по образованието"""	Предоставени текущи и капиталови трансфери за чужбина (§ 49-00) 	2020	255471	114511
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 389 ""Други дейности по образованието"""	Капиталови разходи (§ 52-00, § 53-00)	2020	4652	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 389 ""Други дейности по образованието"""	Капиталови разходи (§ 52-00, § 53-00)	2020	13504	0
Ефикасно управление и участие в мрежи	"Дейност 389 ""Други дейности по образованието"""	Капиталови разходи (§ 52-00, § 53-00)	2020	45128795	1839843
Ефикасно управление и участие в мрежи	"Дейност 389 ""Други дейности по образованието"""	Капиталови разходи (§ 51-00, § 54-00, § 55-00)	2020	3536282	23415628
